Rating;Title;Username;Date;Review
10;Masterful comedy/family flick;UniqueParticle28;28 September 2020;Seen this classic so many times and never ceases to get old. With a bunch of great scenery, adorableness, original vibes, and comedy! Macaulay Culkin shined so much, he deserved the millions earned for his role. I love how Joe Pesci went from Scorsese films where he swore so much where as in this he had to bite his tongue. John Hughe was a gifted writer that helmed some gems! 53 out of 57 found this helpful. Was this review helpful? Sign in to vote. Permalink
no rating;Joe Pesci and Daniel Stern as the Grinches Who Almost Steal Christmas...;Doylenf18;18 May 2001;The overwhelming success of 'Home Alone' (it spawned two sequels), is enough to guarantee that most people will love this story of a family that departs for Paris on the Christmas holidays, mistakenly leaving an eight-year old boy to fend for himself. And fend he does, when burglars threaten to break in unless he can rig enough booby-traps to keep them out.  That's the simple plot in a nutshell. Macaulay Culkin seems to have no problem carrying most of the film with a wide variety of looks, gestures and expressions--but for my money it's Daniel Stern and Joe Pesci who get the main laughs as the bumbling burglars intent on outwitting the kid's traps.  Others in the cast don't have as much to do but do well enough by their roles, particularly Catherine O'Hara and John Heard as the parents who only discover on the plane that Kevin is missing. The laughs are steady, the color photography is great and the slight story is probably every boy's fantasy of what it might be like to be left home alone. Add to that the holiday flavor of Christmas and a pleasant musical score by John Williams and you have the makings of a classic.  The proof is in the pudding--they must have done something right!! 95 out of 111 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;Heartwarming Holiday family classic.;MovieAddict201618;18 February 2003;"'Home Alone' has succeeded in establishing itself as a Christmas tradition, spawning off three sequels (including a made-for-television flop), and a whole franchise in and of it.  Macaulay Culkin plays Kevin McCallister, the average American child. He has an attitude almost expected of a Chris Columbus film from the eighties. He lives with a large family, which, right now, being around Christmas time, is about quadrupled, flooded by relatives' children, all of whom pick on poor, poor Kevin (sympathy long lost later into the film).  One day Kevin wakes up from his sleep to find his wish has come true: his parents (John Heard and Catherine O'Hara) have disappeared. Enthralled by this, he proceeds to do everything and anything he was not allowed to do before, including eating ice cream in the morning, watching violent gangster films, jumping on the bed, wrecking his brother's room, and having some fun with a BB gun. Unfortunately for Kevin, his parents have not just disappeared - they have accidentally left him at home before going to Paris!  Trouble really starts when two pesky burglars, Harry Lime (Joe Pesci) and Marv Merchants (Daniel Stern), decide that their next burglary will be at the McCallister residence. Little do they know Kevin is more than prepared, arming the house with an array of booby-traps that would impress top spies in the American government.  John Hughes, writer/director/producer of my favorite comedy, 'Planes, Trains and Automobiles,' wrote this film, and it is no wonder. It is just like Hughes' humor. It mixes emotion, belly laughs and a warm-hearted ending all into one little bundle called a movie. John Hughes' films, in my experience, are usually very good, mainly because he approaches films at a very classic level. He doesn't resort to crude, kid jokes, like 'The Master of Disguise' or 'The Tuxedo,' to name a few recent flops. He almost always levels everything out perfectly in his scripts, and nothing is different here. Also, he places Kevin and co. in a large brick home in a large neighborhood in Chicago; a home that very much resembles those in 'Planes.' and 'Uncle Buck' (I would not be surprised if it is the same home).  As for the acting.  Macaulay Culkin is not at his best here. His best performance would have to be in an earlier John Hughes film named 'Uncle Buck,' where he had more of a cute charm than an acting charm. Here, he could barely act his way out of a plastic bag. Fortunately, with great performances by John Heard, Catherine O'Hara, Pesci and Stern, his bad acting is long forgotten by the time we become absorbed into the film.  John Heard and Catherine O'Hara bring Kevin's parents to life. They seem almost complete opposites. Kevin's father, Peter (Heard), is very calm and laidback. His mother, Kate (O'Hara) is extremely nervous almost all the time, fretting throughout the film. She is aggravated very easily and, like all mothers, her instinctive nature to care for her child is what drives her to the point she goes to in the film.  And then there's Pesci and Stern. My favorite lot of the film. They perfectly blend humor, pain and aggravation to the film.  Pesci's character Harry is very strict, easily agitated and picks on Marv for a great many things. Marv, the stereotypical 'tall, stupid one,' is completely stupid. He does things that would make a hamster blush. Yet he is the character I have found many like the most, mainly because he is so stupid you have to feel sorry for him. Stern brings a great trait to the character of Marv, and I am very pleased he got the part. It's a hard choice to decide which baddie is better, so I just say I like them both the same.  All in all, 'Home Alone' is probably the best Christmas movie to rise out of the film industry in the last twenty years. It seamlessly blends humor, pain, emotion, human instinct and some great booby-traps all into one little bundle. This film has stood the test of time greatly.  4.5/5 stars - 183 out of 217 found this helpful. Was this review helpful? Sign in to vote. Permalink"
10;The perfect Christmas film;mrashtastic8911;11 December 2021;Home Alone is one of the best slapstick comedies I have ever seen.  The comedy is top-notch, the slapstick is fantastic.  It's not just that, the direction, editing, and pacing are immaculate.  And obviously Macaulay Culkin, Joe Pesci, and Daniel Stern are phenomenal here, I can't imagine them being played by anyone else, they are just perfect.  Some of these edits wouldn't be in films like this today.  But this movie is also delightful, dare I say even a little heartwarming, it's the perfect Christmas movie to watch every year.  I'm gonna give Home Alone an A+. 36 out of 39 found this helpful. Was this review helpful? Sign in to vote. Permalink
no rating;The Best Christmas Film of the Past 20 Years;tfrizzell4;4 November 2000;"""Home Alone"" is a hilarious film about a young boy (Macaulay Culkin) who is accidently left home during the Christmas holidays after the rest of his family goes to Europe. At first Culkin loves the situation, but soon he is scared to death when he learns that burglars Joe Pesci and Daniel Stern are targeting his house. However, Culkin is pretty smart for an eight-year-old and he has plans for them when they attack. Chris Columbus' direction is smart and so is the over-achieving screenplay. This film has a little bit of something for everyone and the fact that the backdrop is the Christmas holidays, only makes it that much more special. All the performers do well and in the end the film also does. 4 stars out of 5. 107 out of 133 found this helpful. Was this review helpful? Sign in to vote. Permalink"
7;Merry Christmas Ya Filthy Animal!;CuriosityKilledShawn14;14 December 2006;In the Eighties, John Hughes churned out a handful of movies and scored many, many hits. Quite rightly, as most of them were seriously funny - I'm DEFINITELY not referring to Curly Sue, so relax! In one particular scene from Uncle Buck, Macaulay Culkin interrogates a babysitter through the letterbox to make sure she's not a baddie. This inspired Hughes to write a whole new movie. Who would have known that this and its sequel would go on to become two of the biggest hits of all time? Both Hughes and Chris Columbus seem to prefer setting their movies during the holiday season (Gremlins, Planes, Trains & Automobiles, Christmas Vacation) and manage to pull them off without too much sentiment, or sickening amounts of gooey love.  There are two reasons why Home Alone was such a big success. The first is that it's about a kid who outsmarts grown-ups, something that happens every day, only there's a worldwide conspiracy of silence. This movie yells it out loud and clear. The second is John Williams's magical score, which elevates the movie way above slapstick family fare to something more serious and regarded. It was nominated for an Academy Award, along with the Christmas carol Somewhere In My Memory, but lost to John Barry's Dances with Wolves. Damn! In a mad rush to the airport one morning, the MacCallister family forget one little thing...Kevin (Culkin). He is an eight-year-old kid who wants nothing better than a peaceful Christmas and some time to himself. It's hard for him to get this when living in a house with seven other people(the exact same house from Planes, Trains And Automobiles, don't you know0. With the rest of the MacCallisters in Paris, Kevin runs wild doing whatever he wants, eating whatever he wants and watching whatever TV show he wants.  But there's one major problem. The Wet Bandits, Harry (Joe Pesci) and Marv (Daniel Stern), are on the prowl and have knocked off every other house in Kevin's street. His is next. And seeing that he's man-of-the-house now, he HAS to defend it.  Using whatever tools are at his disposal (rusty nails, blow torches, Micro Machines) he sets up a labyrinth of booby traps, so that the Wets can't break in. Their idiot-proof determination proves to be their downfall, as they are tortured and torn-up upon entering Kevin's domain.  Although this is not the only point of the film, there is an important message that family is what really matters to a child, or to anyone, and having them home for the holidays is better than wandering a huge house all by yourself.  There are some movies that work best at Christmas and this is one of them. I'm not saying that in a couple of decades it will be the new It's A Wonderful Life, but it will be remembered fondly at the very least.  Don't be a Scrooge. It's Christmastime. Go rush to check out Home Alone. 74 out of 97 found this helpful. Was this review helpful? Sign in to vote. Permalink
9;Wonderful!;TheLittleSongbird5;5 May 2009;I absolutely love the first two Home Alone movies, the third one is adequate but the fourth movie is just dreadful and makes me vomit because of what it did to two underrated gems and a little -below-average follow up. Macaulay Culkin is wonderful as Kevin. In this and Home Alone 2, which is my personal favourite, he is cute and self-assured. Alex D Linz gives a spirited performance in Home Alone 3, but Michael Weinburg just doesn't do anything with the script(which was terrible), other than whine in the fourth film. Anyway back to Home Alone. Joe Pesci and Daniel Stern steal the film, with their goofiness and charm that was evidently missed in the last two instalments. Matching them, is the late great John Candy, and here he is wonderful. Candy has starred in movies like Uncle Buck and Planes, Trains and Automobiles, both of which are hilarious. Home Alone just broadens the comedic talent, that Candy certainly had. The film looks beautiful, with very good direction, and best of all great visual jokes and traps, as well as a fun and sometimes touching script. My problem is why is the rating for both Home Alone and Home 2 so low, when almost everyone I know consider them as holiday classics? All in all, a funny, touching and underrated film, that could have been a little shorter(only by one or two minutes). 9/10 Bethany Cox 25 out of 32 found this helpful. Was this review helpful? Sign in to vote. Permalink
7;A well done family comedy;Quinoa19844;44 November 2000;This type of family comedy truthfully works better if you are grown up with the stooges. Because this film has a climactic scene with more slapstick than most can take. I can though. But if you think this is strictly a kids film, parents will like it too I bet. The plot follows a kid (Macaulay Kulkin) who gets left behind in a Chicago suburb while his family leaves for Paris. And though the house is all his, 2 burglars (Joe Pesci and Daniel Stern who give the best on-screen duo of 1990) want the house. But not without the climax. While most of the film is unbelievable (both good and bad), most of the film should keep families in good spirits, unless parents don't enjoy seeing Pesci getting his head on fire and Stern screaming like a girl. Funny, even if it's not John Hughes' (writer/producer here) best. B+ 49 out of 74 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;100% Entertainment Guaranteed!;Vivekmaru4515;15 June 2012;My all time favorite film. Macaulay Culkin did superbly as a child actor, but as he grew up, he simply disappeared into oblivion. His last good film being Ritchie Rich (1994), live-action film adaptation of the Harvey Comics comic book character Richie Rich.  So from his highest grossing film Home Alone to Richie Rich is only a 4 year reign.  In this film we have the pairing of two talented actors in Joe Pesci and Daniel Stern(I REALLY LIKE THE WAY THIS GUY ACTS & HIS SENSE OF HUMOR!!!). They are a pair of burglars Harry Lyme (Pesci) and Marv Merchants (Stern), specializing in housebreaking when the occupants are off on holiday. This time its on Christmas. The McCallister's have planned a trip to Paris. Meanwhile Harry has his sights set on the McCallister House.  However things don't necessarily go as planned... Kevin has been forgotten at home and the McCallister's realize this too late.  Now Kevin is all alone against a duo of hardened(?), professional(?) crooks. 2 vs. 1 is not a fair fight(or so you think...).  What happens next is why this film has become the most grossing American comedy film of 1990. I WON'T reveal what happens next, so either go see it at a Cinema you like or watch it on DVD/CABLE or ONLINE or buy the DVD either at a DVD store or online.  This film has a decent sequel: Home Alone 2: Lost in New York which follows the further mishaps in the life of Kevin.  Other Macaulay Culkin films worth seeing/having: Uncle Buck, The Good Son, My Girl, Getting Even with Dad, and Richie Rich. 20 out of 25 found this helpful. Was this review helpful? Sign in to vote. Permalink
10;Great movie!;Movie;10 December 2003;Home Alone is arguably one of the funniest movies ever! Its really good. The cast is very good! It was sweet to see John Candy in it! The team work of Joe Pesci and Daniel Stern is just not insanely hilarious but its also incredible that the two are so good together and I like how their scenes of punishment is followed right after the other! I think John Heard looks like Bruce Willis! I like Catherine O'Hara, she is a fine actress! Look for Larry Hankin and Roberts Blossom! John Williams has another great score here!This is a perfect movie for people to watch around Christmas and if you need a big laugh watch this as it will crack you up! Also, I strongly recommend Home Alone 2! It arguably funnier then this plus Time Curry, Brenda Fricker, and Rod Sell appears in it! Both movies are strongly recommended! 65 out of 97 found this helpful. Was this review helpful? Sign in to vote. Permalink
